,betweenness,closeness,degree,page rank,hits hub,hits authority
465693357,0.0035424761912678736,0.4533106960950764,0.04868913857677903,0.00492407936022969,0.005316935847086992,0.00531693584708699
75525450,0.031095987086020793,0.5164410058027079,0.15355805243445694,0.014389423770612465,0.0158330454682625,0.0158330454682625
1222505104080809985,0.019539599103731455,0.478494623655914,0.09737827715355805,0.00988517469107205,0.00885608333794474,0.008856083337944734
833597084167122945,0.007127443718903802,0.4502529510961214,0.06367041198501873,0.0067253309614468655,0.00533383872013623,0.005333838720136231
40576466,0.0015837129317277931,0.478494623655914,0.08614232209737828,0.0075135631035367035,0.011410689690934847,0.011410689690934847
2166763549,4.8042358874304573e-05,0.42857142857142855,0.018726591760299626,0.0022776270361071858,0.0026277867285787668,0.002627786728578765
429259920,0.014296750380536922,0.47007042253521125,0.07865168539325842,0.007560519837539302,0.009946786278690256,0.009946786278690254
1391967150500466688,0.008578654014807653,0.419811320754717,0.0299625468164794,0.004292486962396999,0.0015377921799602417,0.0015377921799602412
1387788296215015428,1.408014418067641e-06,0.42788461538461536,0.026217228464419477,0.002692680201960724,0.004197491241865229,0.004197491241865229
29866761,0.0012212808134487738,0.4369885433715221,0.04868913857677903,0.004999451100396861,0.004695014534671866,0.004695014534671867
1190461842922995712,0.05849623248056792,0.5550935550935551,0.23220973782771537,0.021376197817595408,0.022663394428118853,0.022663394428118853
22597445,0.02130823446493847,0.5105162523900574,0.149812734082397,0.013662886225559239,0.01701074937961546,0.017010749379615463
1330708819761004545,0.004937118127600984,0.48194945848375453,0.08239700374531836,0.007338757028139713,0.011524304140355908,0.011524304140355901
554687023,1.9502997299379683e-05,0.43134087237479807,0.0299625468164794,0.002958182770107411,0.004982024509985017,0.004982024509985017
1284115731295207427,0.0,0.4107692307692308,0.003745318352059925,0.000975238099347682,0.0010102666537818686,0.0010102666537818682
729262286704128000,0.0,0.4107692307692308,0.003745318352059925,0.000975238099347682,0.0010102666537818686,0.0010102666537818682
338989477,0.007309976129621242,0.4603448275862069,0.07865168539325842,0.008098586363228086,0.007025706234609854,0.007025706234609852
1187585868493537280,0.008649398259138899,0.5,0.11610486891385768,0.010231772166135,0.01496671214809728,0.014966712148097272
39697728,0.019294857328351633,0.4734042553191489,0.08614232209737828,0.008700386507004776,0.009482261982877075,0.009482261982877072
1265795638551212032,0.032776984271206344,0.5037735849056604,0.1310861423220974,0.012579792616478437,0.014839950665626317,0.014839950665626314
184125091,0.002972449739533117,0.42113564668769715,0.02247191011235955,0.0027114798537614822,0.0029785172310870024,0.0029785172310870024
343587148,0.0,0.4107692307692308,0.003745318352059925,0.000975238099347682,0.0010102666537818686,0.0010102666537818682
2444133930,0.004055970756186407,0.4405940594059406,0.0449438202247191,0.004423317418413993,0.0059908206713992045,0.0059908206713992045
839139788846411777,0.0036143526883949677,0.4420529801324503,0.03745318352059925,0.004047191487913735,0.004539745269128013,0.004539745269128012
2417892751,0.0059112578841167916,0.42995169082125606,0.04119850187265918,0.004754575205049737,0.0032023613330462238,0.003202361333046223
1111315973125169152,0.011877776903207559,0.49080882352941174,0.10486891385767791,0.009602023288615825,0.012369987123348178,0.012369987123348173
1195044761322823680,3.5982590683950824e-05,0.4152410575427683,0.011235955056179775,0.0017592615786041852,0.0013007816564929047,0.001300781656492904
116897811,0.013178323437339696,0.4405940594059406,0.0449438202247191,0.005114066123036548,0.004555309408853874,0.004555309408853874
1156797119149121541,0.0002152433962124043,0.43344155844155846,0.033707865168539325,0.003507799230957539,0.0038171769247734686,0.0038171769247734673
911963260005552128,7.803722631609954e-05,0.43344155844155846,0.02247191011235955,0.0025001252942513487,0.0035372137734101584,0.0035372137734101584
20356196,0.0,0.4126738794435858,0.011235955056179775,0.0017025764399860505,0.0012365871597352941,0.0012365871597352937
48677032,0.00194715805860638,0.4292604501607717,0.026217228464419477,0.0029782543891312303,0.0039026805649348744,0.0039026805649348727
157920406,0.0002476360301535469,0.4272,0.026217228464419477,0.0028600905087010375,0.0034610428285628343,0.0034610428285628343
391867472,0.028761960481278808,0.5266272189349113,0.16479400749063672,0.014779728483729174,0.01953035394156613,0.019530353941566134
514667085,0.022587782441567176,0.49536178107606677,0.12734082397003746,0.011577071560109608,0.015483184267414369,0.015483184267414367
1264438328,0.0,0.4158878504672897,0.00749063670411985,0.0012682984009826322,0.0017791178609618684,0.0017791178609618682
18874262,0.0034553752443571483,0.48194945848375453,0.09363295880149813,0.008358608224989615,0.01117939685331982,0.01117939685331982
393675585,0.0164464718630352,0.50093808630394,0.1348314606741573,0.011922943791841162,0.015623380185834888,0.015623380185834892
249661913,0.01800049808765371,0.521484375,0.15730337078651685,0.013684540657952014,0.019224649390423405,0.019224649390423416
2382305514,0.0039091733266785516,0.4502529510961214,0.0599250936329588,0.005871435190596435,0.0060251227328583555,0.0060251227328583555
350164545,0.008303048178901143,0.45797598627787306,0.07116104868913858,0.007192459386868812,0.0063858712787169085,0.0063858712787169085
130671142,0.02076496726863264,0.4962825278810409,0.1348314606741573,0.012235729776360157,0.014460894748460337,0.014460894748460346
270044784,0.002055448068638007,0.42113564668769715,0.0299625468164794,0.003768674015545635,0.0019762254213747696,0.0019762254213747696
954235769618538496,0.0,0.4107692307692308,0.003745318352059925,0.000975238099347682,0.0010102666537818686,0.0010102666537818682
16868154,0.03421444141304812,0.5184466019417475,0.15355805243445694,0.014220446407702033,0.01671660831602611,0.016716608316026105
59217922,0.06446137311743298,0.5255905511811023,0.1947565543071161,0.019811018405187508,0.015186586341607872,0.015186586341607869
934851466082357249,0.010208860294279141,0.4793536804308797,0.0898876404494382,0.008071442114119648,0.01210760847523907,0.012107608475239066
94732055,0.017577830322566365,0.49536178107606677,0.11610486891385768,0.010680282598799969,0.013935487150807457,0.013935487150807455
707112185076391936,0.0073405874003736596,0.4442595673876872,0.04868913857677903,0.004943049244975504,0.006349325581600527,0.0063493255816005284
947311503216066560,0.022727269385522542,0.5114942528735632,0.14232209737827717,0.01296485802972016,0.016623206103539515,0.01662320610353952
458399248,0.006546344684492018,0.445,0.06367041198501873,0.006981552211828583,0.004495751158115612,0.004495751158115612
78969930,0.012980672599378757,0.49536178107606677,0.1198501872659176,0.010752181305256332,0.013743664425926365,0.01374366442592637
4053818032,0.006693213636081363,0.459552495697074,0.0749063670411985,0.006985004333824048,0.008994251029040917,0.008994251029040917
406303880,0.013144394926268137,0.4793536804308797,0.09737827715355805,0.008880832300301029,0.012877086497736535,0.012877086497736535
132646210,0.02994133637075383,0.5471311475409836,0.20224719101123595,0.017954169570062788,0.022008501287358147,0.022008501287358154
14451127,0.04070053678620583,0.5318725099601593,0.1797752808988764,0.016329034550222225,0.019883614090478854,0.01988361409047885
3102522680,0.029936407594979127,0.519455252918288,0.1760299625468165,0.015838551881156748,0.01799071417073278,0.01799071417073278
3033312071,0.009805064054247019,0.4472361809045226,0.056179775280898875,0.005926528954826268,0.006871566196331558,0.006871566196331557
854719703545253888,0.0,0.4107692307692308,0.003745318352059925,0.000975238099347682,0.0010102666537818686,0.0010102666537818682
894723591446687745,0.00016211039648190563,0.4272,0.02247191011235955,0.0024932815021299656,0.0031636230344409422,0.003163623034440941
2309104237,0.009939365234699297,0.462738301559792,0.08239700374531836,0.007870656685871487,0.010201665979680558,0.010201665979680563
15455450,0.019922323993276526,0.5028248587570622,0.12359550561797752,0.011071503530990675,0.015585578325920295,0.015585578325920297
1477918760,0.010707700348378285,0.4725663716814159,0.08239700374531836,0.00769649383169773,0.010493930746317909,0.010493930746317909
125483940,0.020875569604219216,0.5164410058027079,0.14606741573033707,0.012853779476046174,0.018286868776550693,0.018286868776550697
1527607790,0.0037655763086413374,0.4643478260869565,0.07116104868913858,0.006371677087535863,0.010076031714559168,0.010076031714559166
436609034,0.006807539713408421,0.4635416666666667,0.07116104868913858,0.0065978401913819595,0.009189847589186994,0.009189847589186992
308456550,0.0006311491685848676,0.46924428822495606,0.07865168539325842,0.006763846905223072,0.011213245517714143,0.011213245517714144
810893744593584128,0.007001366205426698,0.4725663716814159,0.0898876404494382,0.00800792836655438,0.012126271601847849,0.012126271601847845
822183485523841025,0.0,0.4107692307692308,0.003745318352059925,0.000975238099347682,0.0010102666537818686,0.0010102666537818682
18932422,0.04126617278677965,0.5235294117647059,0.17228464419475656,0.016410246656082234,0.017242243383801446,0.01724224338380144
1483247714,0.0015178818746479584,0.41459627329192544,0.0149812734082397,0.0023617743471885046,0.0013140656680498439,0.001314065668049843
341000847,0.017932885161838275,0.5225048923679061,0.16479400749063672,0.014285830176826858,0.01871268845124261,0.018712688451242618
735809541456027648,0.0010376560643526142,0.43914473684210525,0.0449438202247191,0.004514502495187856,0.005462380910036072,0.005462380910036074
824668943285702661,0.0035992862048623733,0.42857142857142855,0.026217228464419477,0.003355248799828887,0.0024453327598857144,0.002445332759885714
824812182114164736,0.0021967193274375816,0.43485342019543977,0.03745318352059925,0.003950822809672684,0.004663129348093952,0.004663129348093953
2190533245,0.028105822833093836,0.5018796992481203,0.13857677902621723,0.012981100729352277,0.014551145297616577,0.014551145297616575
2601589496,0.01093405469526794,0.5124760076775432,0.13857677902621723,0.011973457235046121,0.0170452013913267,0.0170452013913267
788839271239184385,0.0,0.4126738794435858,0.00749063670411985,0.0013386213844594104,0.0012122122396758923,0.0012122122396758914
15750573,0.010263621743963511,0.4517766497461929,0.07865168539325842,0.008974302785498357,0.005952741471162596,0.005952741471162596
271485168,0.0,0.4107692307692308,0.003745318352059925,0.000975238099347682,0.0010102666537818686,0.0010102666537818682
696907754275930112,0.0,0.4107692307692308,0.003745318352059925,0.000975238099347682,0.0010102666537818686,0.0010102666537818682
4663308149,0.0,0.4107692307692308,0.003745318352059925,0.000975238099347682,0.0010102666537818686,0.0010102666537818682
1978351027,0.0,0.4107692307692308,0.003745318352059925,0.000975238099347682,0.0010102666537818686,0.0010102666537818682
701026341500690432,0.0,0.4107692307692308,0.003745318352059925,0.000975238099347682,0.0010102666537818686,0.0010102666537818682
829903626,0.001288022477166755,0.41203703703703703,0.00749063670411985,0.0016320709544891464,0.0010256836281858563,0.0010256836281858557
4645255754,0.0,0.4107692307692308,0.003745318352059925,0.000975238099347682,0.0010102666537818686,0.0010102666537818682
1479360883,0.0,0.41203703703703703,0.00749063670411985,0.0014280524638695825,0.001092103747589024,0.0010921037475890235
118412527,0.0,0.41203703703703703,0.00749063670411985,0.0015190664928015172,0.0010505018129486235,0.001050501812948623
2798157850,0.0,0.41203703703703703,0.00749063670411985,0.0014280524638695825,0.001092103747589024,0.0010921037475890235
