,betweenness,closeness,degree,in degree,out degree,page rank,hits hub,hits authority
248721193,0.0040488359141827145,0.35174229991221706,0.19548872180451127,0.11278195488721804,0.08270676691729323,0.01171294383672408,0.008110554010641318,0.01158635100795417
1708743114,0.003698074081978117,0.348207201420637,0.3157894736842105,0.15789473684210525,0.15789473684210525,0.01280404402478558,0.017125216578069386,0.01924157945037235
1269179580843200512,0.0005305069571466789,0.2805394051931448,0.08270676691729323,0.045112781954887216,0.03759398496240601,0.005443557460225588,0.004174960431876254,0.0031515233456233466
465693357,0.0012282032251120245,0.293615394418249,0.14285714285714285,0.06015037593984962,0.08270676691729323,0.006116838817324591,0.0066101313809148335,0.005551312043800119
75525450,0.026136684315300262,0.37055204857062446,0.45112781954887216,0.20300751879699247,0.24812030075187969,0.016843899236645518,0.02049523923259737,0.020801654082929895
1222505104080809985,0.011959318098852501,0.36470122675108824,0.22556390977443608,0.15037593984962405,0.07518796992481203,0.013045112105053366,0.00606718182749635,0.014587254764281736
833597084167122945,0.0,0.0,0.10526315789473684,0.0,0.10526315789473684,0.001911835428600428,0.007815912717426128,-0.0
40576466,0.003022176628072158,0.3413459757768806,0.20300751879699247,0.10526315789473684,0.09774436090225563,0.00730718335112056,0.011348613486968025,0.013086533545248915
2166763549,6.060199448874486e-05,0.2794081979141402,0.05263157894736842,0.03007518796992481,0.022556390977443608,0.003740096662061901,0.0028376003292331525,0.0031892014216348273
429259920,0.0017078102773069414,0.3222941073614268,0.22556390977443608,0.10526315789473684,0.12030075187969924,0.008351281909221936,0.012548169998881097,0.013866725454982897
1391967150500466688,0.0,0.0,0.03759398496240601,0.0,0.03759398496240601,0.001911835428600428,0.002269324850804392,-0.0
1387788296215015428,0.00016806381787387695,0.2585568398608461,0.06766917293233082,0.03759398496240601,0.03007518796992481,0.004000921114600241,0.004180429925142975,0.005096974332952759
29866761,0.009015645913287742,0.30660722602967594,0.10526315789473684,0.09022556390977443,0.015037593984962405,0.008482595760825497,0.0024288999766024113,0.007198742654755319
1190461842922995712,0.04427833863515736,0.32532034311129937,0.556390977443609,0.15037593984962405,0.40601503759398494,0.010927094719399058,0.030351696542298915,0.015946381745075226
22597445,0.004044276852672903,0.37055204857062446,0.3684210526315789,0.23308270676691728,0.13533834586466165,0.018042531792634015,0.015988321527721866,0.026504890434016853
1330708819761004545,0.0009980379721393957,0.316407456998661,0.21804511278195488,0.06015037593984962,0.15789473684210525,0.005589241006733424,0.01594214945124301,0.008845959760059162
554687023,0.0,0.0,0.06015037593984962,0.0,0.06015037593984962,0.001911835428600428,0.00723023185699664,-0.0
1284115731295207427,0.0,0.0,0.007518796992481203,0.0,0.007518796992481203,0.001911835428600428,0.001918580257372672,-0.0
729262286704128000,0.0,0.0,0.007518796992481203,0.0,0.007518796992481203,0.001911835428600428,0.001918580257372672,-0.0
338989477,0.011470605656630955,0.34996582365003415,0.19548872180451127,0.12781954887218044,0.06766917293233082,0.011334139765503912,0.007071278962086909,0.010126989239926415
1187585868493537280,0.006136827162694343,0.35903229576532003,0.3684210526315789,0.17293233082706766,0.19548872180451127,0.014487528637450288,0.018213607102274668,0.020799893769931462
39697728,0.00035982362544209693,0.31073198691796755,0.17293233082706766,0.08270676691729323,0.09022556390977443,0.007007672731791907,0.010151590976763608,0.0110203633778595
